Album Name,Views,Estimated Revenue
Drake HONESTLY NEVERMIND Album,79981401,159962
Drake,7633557,15267
Drake,8106458,16212
More Life (Drake) (Full Album) (Explicit),246033868,492067
Drake,660334361,1320668
"Honestly, Nevermind (FULL ALBUM) Drake",179998458,359996
So Far Gone (FULL ALBUM) Drake,15634058,31268
Drake and Future,103906672,207813
Drake,98792,197
Drake Bell,8613967,17227
Drake and Future,141582463,283164
Drake,457934597,915869
All Nas&#39;s Albums,267101725,534203
NAS/I AM (FULL ALBUM),230909316,461818
Nas,137747434,275494
Nas,64556611,129113
Nas,18109300,36218
Nas,11092551,22185
Nas,15905312,31810
Nas,177188,354
Nas,4040661,8081
Nas,9266664,18533
Nas,54017777,108035
Nas,41964373,83928
Nas,8956279,17912
Nas,36655111,73310
Nas,19079604,38159
Nas:Stillmatic (full album),59729709,119459
Nas,14449834,28899
Nas,11317784,22635
nas &amp; damian marley distant relatives full album,41935481,83870
Nas,193484,386
Nas,18313,36
Nas,45863212,91726
Nas,37283,74
Nas,7889926,15779
King&#39;s Disease III,20441098,40882
Nas,24863014,49726
Magic 3,13229206,26458
All Nas Albums,266605835,533211
Nas,6098,12
Nas Nasir (Full Album),78456418,156912
Nas,10987147,21974
Nas,30351969,60703
Stillmatic full album,26803655,53607
Nas,62375648,124751
Nas,17039166,34078
Nas new album,25561090,51122
Nas: Nastradamus Full Album!,78461,156
Nas,15855101,31710
Nas,17050490,34100
Nas,41081,82
Nas,16764906,33529
Nas,3340457,6680
Nas,7528064,15056
Nas album done,94796091,189592
Nas &amp; Damian Marley,93958462,187916
Nas,21509363,43018
Nas,21107875,42215
Nas,18925,37
Nas,26692518,53385
Nas,11691884,23383
Lil Wayne,343065726,686131
Tha Carter III (Lil Wayne) (Full Album) (Explicit),205056833,410113
Lil wayne,2634302,5268
LIL WAYNE,62851597,125703
Lil Wayne • “Tha Carter 4” • Album,154243264,308486
Lil Wayne,3052568,6105
lil wayne,637590,1275
Lil Wayne,22122595,44245
Lil Wayne,63660162,127320
Lil Wayne,173581860,347163
Lil Wayne,158126642,316253
Lil Wayne,5094101,10188
Birdman and Lil Wayne,5620177,11240
Lil Wayne,23732120,47464
Lil Wayne &amp; Birdman,92265268,184530
Lil Wayne,13722220,27444
Lil Wayne,6643288,13286
tha carter 4 full album,38132394,76264
"Lil wayne dedication 1,2,3,4,5",49907568,99815
Lil Wayne,12619712,25239
Lil Wayne,9201763,18403
Lil Wayne,94577178,189154
I AM NOT A HUMAN BEING Full Album,135609730,271219
lil wayne tha block is hot,4808934,9617
"2 Chainz, Lil Wayne &#39;Welcome 2 Collegrove&#39; Album",23124150,46248
Lil Wayne,101536238,203072
Lil Wayne,4105344,8210
Lil Wayne [Album THA CARTER II],125783523,251567
Lil wayne albums and mixtapes,10790088,21580
Lil Wayne Mixtapes,187068572,374137
Lil Wayne,220388611,440777
Lil Wayne,1547405995,3094811
Lil Wayne,327456730,654913
Lil Wayne,75467456,150934
Lil Wayne,722416342,1444832
Lil Wayne,205056992,410113
Lil wayne classics,367461068,734922
Lil Wayne,13758976,27517
Lil Wayne Funeral Full Album 2020!,59494195,118988
Lil Wayne &amp; Rich The Kid,9897864,19795
Lil Wayne,12202447,24404
Lil Wayne,11072065,22144
Lil Wayne,72624102,145248
Lil&#39; Wayne Rebirth Album,485458481,970916
Lil Wayne,23641214,47282
Lil Wayne(Sorry 4 The wait)new Album 2022,23718507,47437
Lil Wayne,4760654,9521
Lil Wayne,15291499,30583
Lil Wayne • “I Am Not a Human Being 2 (Deluxe Version)” • 2013 (Album),163565324,327130
Lil Wayne,24445174,48890
Cardi B,542943737,1085887
Cardi B,6392390,12784
Invasion of Privacy (Full Album) Cardi B,530701061,1061402
Cardi B &amp; The KSR Group,456713,913
Cardi B,61471747,122943
Cardi B – Invasion Of Privacy (Clean/Edited) [FULL ALBUM],10176,20
Cardi B Invasion Of Privacy,791394114,1582788
Cardi B,530701061,1061402
Cardi B,530701061,1061402
Cardi B,530701061,1061402
albums cardi b,3901773512,7803547
Cardi b unreleased music,1263615,2527
cardi b album,4452395,8904
Cardi B (Privacy Album),400868560,801737
CARDI B FULL ALBUM,530701061,1061402
Cardi B,57956291,115912
Invasion of Privacy (Album 2018) Cardi B,530701061,1061402
Cardi B,27619580,55239
Cardi B,530701061,1061402
Wanna Be (Remix Alternate Versions),36338752,72677
Cardi B | Invasion Of Privacy (Album),530701061,1061402
Cardi b album,530701061,1061402
Invasion of Privacy,530701061,1061402
INVASION PRIVACY: {ALBUM}:      BY CARDI B,530701061,1061402
Cardi B 2018 full album,530701061,1061402
Cardi B Album,3976851003,7953702
album Privacy Cardi B,539689680,1079379
Cardi B,530701091,1061402
Cardi B,530701092,1061402
ÉXODO,423614424,847228
Cardi b new album awwe!😍😍😍❤❤,249148002,498296
Cardi B,530701092,1061402
Cardi B clean invasion of privacy album,4210676,8421
Cardi B,530701092,1061402
Cardi b new album,979681124,1959362
Pardison album cardi b homie,1738458,3476
Cardi B,36338816,72677
Cardi B First Album,505667453,1011334
Cardi B,57966340,115932
Gangsta Bitch Music Vol. 2,30177382,60354
Cardi B,36338817,72677
Cardi B,604716085,1209432
Culture III,359217392,718434
Cardi B Wins Best Rap Album | 2019 GRAMMYs Acceptance Speech,19130219,38260
Summer Walker,123616564,247233
Cardi B,21473204,42946
Eminem,329184226,658368
Best of Cardi B ♫ Playlist ♫ Official Music Videos,17637348175,35274696
Cardi B | Gangsta Bitch Music: Vol. 1 (Album),21473207,42946
All cardi B&#39;s albums,606340448,1212680
Megan Thee Stallion,32607502,65215
Megan Thee Stallion,89499754,178999
Traumazine (FULL ALBUM) Megan Thee Stallion,68576885,137153
Suga (FULL ALBUM) Megan Thee Stallion,42040749,84081
Megan Thee Stallion,168403,336
Traumazine (FULL ALBUM) Megan Thee Stallion,2288073,4576
Megan Thee Stallion All Albums,145250097,290500
Megan Thee Stallion,80819567,161639
Megan Thee Stallion,69047891,138095
Megan Thee Stallion,68576885,137153
Megan Thee Stallion,42040751,84081
Megan Thee Stallion Traumazine Full Album,68576885,137153
Megan Thee stallion,5325,10
Megan the stallion album,68576988,137153
Megan Thee Stallion,68576988,137153
MEGAN THEE STALLION • GOOD NEWS [FULL ALBUM],166785102,333570
Traumazine,2417,4
Megan Thee Stallion – Suga (Clean/Edited) [FULL ALBUM],699,1
Megan thee stallion new playlist,68576988,137153
Megan Thee Stallion,3019120,6038
Suga — Megan Thee Stallion (Official Instrumentals),85756,171
Megan Thee Stallion,68576988,137153
SUGA (ChopNotSlop Remixes),1538025,3076
Megan Thee Stallion  Traumazine,68576988,137153
Megan Thee Stallion,227,0
Meghan the stallion traumazine album,68576988,137153
Megan Thee Stallion,115650312,231300
Megan Thee Stallion,68576988,137153
Megan Thee Stallion,68576988,137153
Wanna Be (Remix Alternate Versions),14750086,29500
Megan Thee Stallion,142990306,285980
Megan Thee Stallion,44368,88
Megan Thee Stallion,68576988,137153
&quot;Traumazine&quot;,68576985,137153
megan thee stallion,68576988,137153
Megan Thee Stallion • Fever (Full  Album) • (2019),188830849,377661
Megan The Stallion,69139404,138278
Megan Thee Stallion  (new),68576988,137153
MEGAN THEE STALLION  !!!!!!!!! T.E.X.A.S  !!!!!!!!!!!!!!,68576988,137153
